Name,About,Genres,Keywords,ImageLink
1+1,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.","драма, комедия","2010-е | Абстрактная живопись | Богатые и бедные | Ванна | Вечеринка в честь дня рождения | Инвалид | Инвалидность | Интеллектуал | Классическая музыка | Классовые различия | Купание | Межрасовая дружба | Молодой | Мужская дружба | Написание письма | Особняк | Паралич | Парапланеризм | Париж, Франция | Повествование флешбэками | Повторяющаяся сцена | Подмигивание | Сиделка | Собеседование при приеме на работу | Сцена перед вступительными титрами | Тетраплегик | Франция | Чернокожий мужчина | Эпилог",//avatars.mds.yandex.net/get-kinopoisk-image/10900341/caf9f155-1a19-42f1-a0f3-9c8773e9083e/300x450
Интерстеллар,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.","фантастика, драма, приключения","Азбука Морзе | Блокбастер | Временной парадокс | Гигантская волна | Голод | Гонка со временем | Гравитация | Действие в будущем | Другое измерение | Книжный шкаф | Космическая станция | Космический корабль | Космический шаттл | Космическое путешествие | Космонавт | Кукурузное поле | Любовь | НАСА | Название, сказанное персонажем | Невесомость | Нет титров в начале фильма | Освоение космоса | Отец-одиночка | Открытый космос | Отношения отца и дочери | Песчаная буря | Пикап | Планета | Предательство | Приливная волна | Путешествие во времени | Пыль | Робот | Родитель-одиночка | Самопожертвование | Семейные отношения | Спасение мира | Сфера Шварцшильда | Теория относительности | Ученый | Фермер | Физик | Футуристический | Червоточина | Черная дыра",//avatars.mds.yandex.net/get-kinopoisk-image/1600647/430042eb-ee69-4818-aed0-a312400a26bf/300x450
Побег из Шоушенка,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",драма,"1940-е | 1950-е | Виниловая пластинка | Вырезание | Граммофон | Закадровый голос | Зверство | Искупление вины | Испытание | Комиссия по условно-досрочному освобождению | Личинка | Мужская дружба | Мужская нагота | Неверная жена | Неверность | Неожиданный сюжетный поворот | Неожиданный финал | Неправомерное осуждение | Одиночное заключение | Озвучивание текста письма | По мотивам книги Стивена Кинга | По мотивам новеллы | Побег из тюрьмы | Повествование от первого лица | Пожизненное заключение | Полицейская жестокость | Просмотр фильма | Разговаривающий с птицей | Самоубийство | Самоубийство злодея | Самоубийство через повешение | Сексуальное преступление | Сиуатанехо, Мексика | Слушание о досрочном освобождении | Туннель для побега | Тюремная библиотека | Тюремный двор | Тюремный охранник | Тюрьма | Убийство жены | Упоминание Риты Хэйворт",//avatars.mds.yandex.net/get-kinopoisk-image/1599028/0b76b2a2-d1c7-4f04-a284-80ff7bb709a4/300x450
Остров проклятых,"Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.","триллер, детектив, драма","1940-е | 1945 год | 1950-е | 1952 год | 1954 год | Агент ФБР | Алкоголик | Американец | Анаграмма | Безумие | Бой | Больница | Больница для душевнобольных | Больничная палата | Бостон, Массачусетс | Бостонский акцент | Бред | Брызги крови | Бутылка | В стиле фильмов Хичкока | Вдова | Вдовец | Ветер | Ветеран Второй мировой войны | Ветеран армии | Ветеран войны | Взрыв | Взрывающаяся машина | Винтовая лестница | Винтовка | Внутренний демон | Военная травма | Воображение | Врач | Вторая мировая война | Выдающий себя за другое лицо | Вымышленный эпизод | Вырубить прикладом | Высокомерие | Выстрел в грудь | Выстрел в лицо | Выстрел в спину | Выстрел из пистолета | Вытесненные воспоминания | Гавань | Галлюцинация | Галлюциноген | Галстук | Герметичность | Говорящий с мертвыми | Горящий дом | Готика | Граммофон | Гробница | Двусмысленный финал | Двухъярусная кровать | Девочка | Дезинтеграция | Держать на прицеле | Детектив | Детоубийство | Джип | Дождь | Док | Дом сумасшедших | Дом у озера | Допрос | Душ | Женоубийство | Женщина - серийный убийца | Женщина-психопат | Женщина-убийца | Жестокость | Заблуждение | Забор | Заговор | Зажжение спички | Зажигание сигареты | Замедленная сцена | Заместитель федерального маршала | Записка | Записная книжка | Застреленный | Затопление здания | Значок | Игра в догонялки | Игра на запоминание | Играть роль | Игрушечное оружие | Игрушечный водяной пистолет | Избиение | Изменение личности | Иллюзия | Интервью | Инъекция | Истерия | Исчезновение | Казнь | Камера пыток | Капитан | Кладбище | Клетка | Колючая проволока | Колющий удар в руку | Комплекс вины | Концентрационный лагерь | Корабль | Кошмарные сцены | Крепость | Крепость на острове | Кричащая женщина | Кровавое лицо | Кровь | Крыса | Культовый фильм | Курение сигарет | Курение сигары | Курение трубки | Лагерь смерти | Лекарство | Лес | Ливень с ураганом | Лицевые травмы | Лицо со шрамом | Личная вендетта | Лобковые волосы | Лоботомия | Лодка | Ложь | Мавзолей | Магнитофон | Маниакальная депрессия | Маньяк-убийца | Массовое убийство | Маяк | Медицинский эксперимент | Медсестра, медбрат | Мертвая женщина | Мертвые дети | Мертвый ребёнок | Мертвый человек | Местоположение в оригинальном названии | Месть | Мигрень | Мокрая одежда | Молния | Море | Морская болезнь | Мужская нагота | Мужская нагота (вид спереди) | Мужские лобковые волосы | Мягкая фетровая шляпа | Мёртвая девочка | Мёртвое тело | Название, сказанное персонажем | Нападение | Наручники | Находящийся в заблуждении | Нацист | Нацистский концентрационный лагерь | Немецкая речь | Немецкий доктор | Немецкий солдат | Ненастоящая личность | Неожиданный сюжетный поворот | Неожиданный финал | Неонуар | Неопределённость | Нет титров в начале фильма | Нисходящая спираль | Обернутый в полотенце | Облава | Обман | Обрыв | Огнестрельное оружие | Огонь | Огромные волны | Окровавленное тело ребенка | Операция на головном мозге | Оригинальное название из двух слов | Оскорбление на расовой почве | Особо опасный сумасшедший | Остров | Отверстие в груди | Отвлекающий манёвр | Отключение электроэнергии | Отношения коллег | Отношения мужа и жены | Отчаяние | Охрана | Память | Паранойя | Паром | Пациент с психиатрическим заболеванием | Пепел | Перерезание телефонной линии | Персонаж признаётся в любви | Пещера | Пироманьяк | Пистолет | Плач | Плачущая женщина | По мотивам романа | Побег из тюрьмы | Подвал | Поджигание | Поджигатель | Поджог | Подожжённая машина | Подозреваемый нацист | Подозрение | Покрывательство | Покрытый кровью | Полицейский напарник | Полное отключение электроэнергии | Полностью обнаженный мужчина | Порт | Постмодерн | Поцелуй | Преследование пешком | Прилив | Принимающий душ | Принятие таблеток | Пристанище | Продолжительный крик «нет» | Промывка мозгов | Пропавший человек | Прослушивание музыки | Пруд | Психиатр | Психиатрическая лечебница | Психически больной | Психическое заболевание | Психоз | Психолог | Психологическая травма | Психологический | Психологический триллер | Психология | Психопат | Психотерапевт | Психотерапия | Психотропный препарат | Пыль | Пытки | Радио | Разговаривающий с мёртвым телом | Разговор с мертвыми | Разговор с умершим | Расист | Раскрытие тайны | Расследование | Расследование ФБР | Расстройство множественной личности | Расщепление личности | Рвота | Револьвер | Регрессия | Резня | Рисование | Ругательство на букву «F» | Сад | Самозванец | Самообман | Санитар в психиатрической клинике | Саспенс | Свидетель | Секретный эксперимент | Серийный убийца | Серое небо | Сестра в психиатрической клинике | Склеп | Следователь | Служитель закона | Смерть | Смерть от оружейного выстрела | Смерть от утопления | Смерть ребенка | Смерть ребёнка | Смерть семьи | Снег | Сновидение | Солдат | Сон внутри сна | Сон, мечта | Спичка | Сторонник порядка | Страшный сон | Сюрреализм | Тайна | Тайный план | Татуировка | Темная и дождливая ночь | Теория заговора | Терапия | Торазин | Травма | Тревога | Тройное убийство младенцев | Труп | Тюремная камера | Тюремное заключение | Тюремный начальник | Тюремный охранник | Тюрьма | Убежище в пещере | Убежище для особо опасных сумасшедших | Убийство | Убийство ребенка | Убийство утоплением | Удар по лицу | Удушение | Узнающий правду | Упавшее дерево | Упоминание Адольфа Гитлера | Упоминание Бога | Упоминание Густава Малера | Упоминание Франца Кафки | Упоминание Эдгара Гувера | Ураган | Уродство | Успокоительное средство | Утонувший ребенок | Утопление | Федеральный маршал | Философский разговор | Флешбэк | Фонограф | Форт | Фотография | Холодная война | Холокост | Цепь | Чирканье спичкой | Чувство вины | Шарада | Шизофрения | Шприц | Шрам | Шрам на лице | Шторм | Эксперимент | Экспериментальное лечение | Эксперименты над людьми | Электрическая изгородь",//avatars.mds.yandex.net/get-kinopoisk-image/4303601/617303b7-cfa7-4273-bd1d-63974bf68927/300x450
Зеленая миля,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.","драма, фэнтези, криминал","1930-е | Беспокойство | Блокбастер | Высшая мера наказания (смертная казнь) | Горькая радость | Дом престарелых | Духовное исцеление | Закадровый текст | Заключенный | Идеальная справедливость | Искупление вины | Казнь | Камера смертников | Кинопроектор | Луизиана | Мочевая инфекция | Мышь | Название, сказанное персонажем | Намочить штаны | Наркотический напиток | Неожиданная концовка | Нет титров в начале фильма | Огнестрельное оружие | Опухоль головного мозга | Оскорбление на расовой почве | Осуждённый по ошибке | Плевок в лицо | По мотивам романа | Пожилой | Против смертной казни | Психиатрическая больница | Расизм | Расовая несправедливость | Садизм | Сверхъестественное | Символ Мессии | Смертельная болезнь | Смертная казнь | Смирительная рубашка | Состояние ступора | Стивен Кинг | Стрельба | Сцена мочеиспускания | Трагедия | Трагический герой | Трагический финал | Трус | Тюремная драма | Тюремный охранник | Тюрьма | Убийство | Флешбэк | Христианство | Цвет в названии | Целитель | Человеческие отношения | Чудо | Экстрасенсорное восприятие | Электрический стул | Юг США",//avatars.mds.yandex.net/get-kinopoisk-image/1599028/4057c4b8-8208-4a04-b169-26b0661453e3/300x450
Джентльмены,"Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.","криминал, комедия, боевик","Автомобильная погоня | Актерский ансамбль | Американец в Великобритании | Антигерой | Боевое насилие | Британец | Выстрел в голову | Гангстер | Героин | Закадровый голос | Компьютер | Лондон, Англия | Марихуана | Монтаж | Мочеиспускание на мертвое тело | Наблюдение за кем-то | Наркобарон | Наркотики | Неонуар | Ноутбук | Огнестрельное оружие | Организованная преступность | Отморозок | Отношения мужа и жены | Отравление | Парень-подросток | Погоня | Попытка изнасилования | Похищение людей | Поцелуй | Предательство | Преследование | Пролог | Просмотр видео на компьютере | Распитие спиртных напитков | Рукопашный бой | Свинья | Стадион | Сцена стрельбы | Сценарий | Текст на экране | Телефонный звонок | Фотоаппарат | Фотографирование | Шантаж | Шумная ссора",//avatars.mds.yandex.net/get-kinopoisk-image/1599028/637271d5-61b4-4e46-ac83-6d07494c7645/300x450
Властелин колец: Возвращение короля,"Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки — хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья.","фэнтези, приключения, драма, боевик",Аванпост | Актерский ансамбль | Армия | Битва | Босиком | Волшебник | Вулкан | Вулканическое извержение | Главный герой мужского пола | Гонка со временем | Гора | Дерево | Добро против зла | Жестокость | Засада | Камин | Квест | Кольцо / ринг | Королевский | Король | Лава | Мертвое дерево | Мужество | Орк | Поклон | Проклятие | Путешествие | Руины | Сигнал | Сиквел | Смерть | Средиземье | Судьба | Третья часть (триквел) | Трон | Фехтовальщик | Хоббит | Чувство ненависти | Эпопея,//avatars.mds.yandex.net/get-kinopoisk-image/4303601/e410c71f-baa1-4fe5-bb29-aedb4662f49b/300x450
Гарри Поттер и узник Азкабана,"Гарри, Рон и Гермиона возвращаются на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность.","фэнтези, приключения, семейный","Автобус | Беглец | Белая сова | Близнец | Блокбастер | Больница | Ведьма | Возвращение персонажа в исполнении другого актера | Волшебная книга | Волшебная метла | Волшебная палочка | Волшебная формула | Волшебник | Волшебство | Вымышленный вид спорта | Гадание | Герой тинэйджеров | Гигантский паук | Гиппогриф | Гнев | Готика | Грифон | Девушка-подросток | Детский хор | Директор школы | Добро против зла | Друг | Дружба | Жаба | Живое дерево | Живой портрет | Заключение в тюрьму | Закрытое учебное заведение | Замок | Злой волшебник | Измененный логотип студии | Имя персонажа в оригинальном названии | Карта | Колдовство | Колдунья-подросток | Кошка | Крестный отец | Крыса | Культовая фигура | Культовый фильм | Лазарет | Лес | Лестница Эшера | Летающая метла | Логотип студии в фильме | Лучший друг | Магический кристалл | Мальчик в очках | Меланхолия | Мифология | Надувание (вздутие) | Наследственная способность колдовства | Невидимость | Неожиданная концовка | Неправомерное осуждение | Нет титров в начале фильма | Оборотень | Образ отца | Обратный ход времени | Общий обеденный зал | Объявление о розыске | Оживающий портет | Ожирение | Олень | Оригами | Оскорбление на расовой почве | Отношения учителя и ученика | Падение с высоты | Палач | Парень-подросток | Первая встреча в поезде | Плавающий, парящий | По мотивам романа | Побег из тюрьмы | Подслушивание | Поезд | Поездка на автобусе | Полнолуние | Полёт | Предатель | Предательство | Предположительно мертвый | Предсказание | Предсказание по чаинкам | Призрак | Произношение кокни | Профессор | Путешествие во времени | Раздутое тело | Ребенок в опасности | Ручка щетки | Серийный убийца | Сиквел | Смертный приговор | Снег | Собака | Сова | Страх | Строгий учитель | Суррогатный отец | Тайный коридор | Темное фэнтези | Толстая женщина | Трансформация | Третья часть (триквел) | Тыква | Тьма | Уход в отставку | Фаворитизм | Хор | Человек, превращающийся в животное | Школьная жизнь | Шрам | Эпилепсия",//avatars.mds.yandex.net/get-kinopoisk-image/4303601/3eabac99-fb98-4b12-ba9f-6172782d54c6/300x450
В августе 44-го,"Лето 1944. До Великой Победы остается еще около года. Белоруссия уже освобождена, однако с ее территории регулярно выходит в эфир группа лазутчиков, передавая врагам очень важную информацию о советских войсках. На поиски шпионов, в район регулярных выходов в эфир запеленгованной рации, был послан отряд разведчиков, во главе с офицером СМЕРШа.","боевик, триллер, драма, детектив, военный",1940-е | 1944 год | Беларусь | Великая Отечественная война | Вторая мировая война | Месяц в оригинальном названии | По мотивам романа | Русский солдат | Ручное огнестрельное оружие | Шпион,//avatars.mds.yandex.net/get-kinopoisk-image/4303601/afb8b5d1-6afd-4087-8bbe-abb79e39f328/300x450
Джанго освобожденный,"Шульц — эксцентричный охотник за головами, который выслеживает и отстреливает самых опасных преступников. Он освобождает раба по имени Джанго, поскольку тот может помочь ему в поисках трёх бандитов. Джанго знает этих парней в лицо, ведь у него с ними свои счёты.","вестерн, боевик, драма, комедия",Беглый раб | Бывший раб | Выстрел в лошадь | Дантист | Динамит | Женская нагота | Жестокость | Исторический вымысел | Исторический ревизионизм | Ку-клукс-клан | Месть | Миссиссипи | Мужская нагота | Нападение собаки | Небольшой крупнокалиберный пистолет | Неоднократные выстрелы | Один против всех | Опытный стрелок | Освобожденный раб | Оскорбление на расовой почве | Охотник за головами | Плантация | Порка | Преследование | Пытки | Раб | Рабство | Расизм | Расовое насилие | Расовый стереотип | Садизм | Свобода | Слово на «N» | Спасательная миссия | Спасение | Техас | Упоминание Зигфрида и Брунгильды | Цепи | Человеческий череп | Яички,//avatars.mds.yandex.net/get-kinopoisk-image/1898899/401c67e4-5047-42c2-8668-aeda39da529f/300x450
